,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
285,Pharma Medical Sales Representative,Himalaya ,0-3 Yrs,1.5-3.5 Lacs PA,"Madurai, Kadapa/Cuddapah, Tirupati, Vijayawada, Hyderabad/Secunderabad, Kurnool, Chennai, Coimbatore, Bangalore/Bengaluru"," Only science, Pharmacy and MBA candidates can apply as a FresherCandidate should have m...",Medical Rep,Pharmaceutical Sales Pharma mr marketing territory pharma marketing business development,24 Days Ago,2023-03-07
286,"Medical Representative- Delhi/ NCR, Ghaziabad, Gurgaon For MNC Pharma",The Way Consultant,2-7 Yrs,3-7 Lacs PA,"Noida, Ghaziabad, Gurgaon/Gurugram, Delhi / NCR", Minimum 6 Months and above experiences in Pharmaceuticals sales. . .,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales medical pharma selling pharmaceutical,6 Days Ago,2023-03-07
287,"Medical Representative- Erode,Salem  H.Q For reputed pharma company",The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,"Salem, Erode", Minimum 6 Months and above experiences in Pharmaceuticals sales. . Age: below 26 years....,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales marketing pharma selling medical,4 Days Ago,2023-03-07
288,Medical Representative- Hyderabad  H.Q For reputed pharma company,The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,Hyderabad/Secunderabad, Minimum 6 Months and above experiences in Pharmaceuticals sales. . Age: below 26 years....,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales pharma selling pharmaceutical sales,4 Days Ago,2023-03-07
289,Medical Representative- Jammu  H.Q For reputed pharma company,The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,Jammu, Minimum 6 Months and above experiences in Pharmaceuticals sales. . Age: below 26 years....,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales marketing pharma selling medical,5 Days Ago,2023-03-07
290,Medical Representative- Prayagraj  H.Q For reputed pharma company,The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,Allahabad/Prayagraj, Minimum 6 Months and above experiences in Pharmaceuticals sales. . Age: below 26 years....,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales marketing sales pharma selling,5 Days Ago,2023-03-07
291,Medical Representative- Kanpur For reputed pharma company,The Way Consultant,2-7 Yrs,3-4.5 Lacs PA,Kanpur, Minimum 6 Months and above experiences in Pharmaceuticals sales. . .,Medical Sales,Medical representative Pharma sales Pharma Marketing Pharmaceutical Sales marketing sales pharma selling,5 Days Ago,2023-03-07
292,Urgent Requirement For Pharmacist - B. Pharma/ D.Pharma - Freshers,Prolific Hr Consultants India Ltd,0-0 Yrs,Not disclosed,Bangalore/Bengaluru, Check the expiry date and batch number of the medicine and compare it with the bill ent...,Pharmaceutical Sales,pharmacy Pharmacist B.Pharma chemist kannada inventory pharmaceutical,3 Days Ago,2023-03-07
293,Pharma Sales Officer / Medical Representative - LTD Pharma Company,Ideaspot Consultant,1-6 Yrs,3-3.25 Lacs PA,"Chaibasa, Jamshedpur", Pharma Sales Officer Bachelor's degree in Pharma 2+ yrs exp as Pharma sales and stockis...,Sales,territory sales medical sales pharma selling pharmaceutical territory direct sales regional sales,8 Days Ago,2023-03-07
294,Medical Coder Job-Bpharm/mpharm/pharmacy/pharmacist/pharma Grad Wanted,AS Medical Coding Technologies,0-3 Yrs,3.25-4 Lacs PA,"Chidambaram, Chennai, Coimbatore", Pick Up & Drop Facility. . Food Facility. . Day Shift. Nursing. . GNM / DGNM. . Life sc...,Pharmacist,nutrition bioinformatics technology biochemistry zoology bpt pharmaceutical,10 Days Ago,2023-03-07
295,"Medical Coding Job For Pharma,Pharmaceutical,Pharmacist, Pharmacy grad",AS Medical Coding Technologies,0-2 Yrs,3.25-4 Lacs PA,"Madurai, Chennai, Coimbatore", Job Description Position: Medical Coder- Work from Home Ct: HR Keerthana 7305649640 Job...,m.pharm,d.pharm pharm d b.pharm Nursing nutrition bioinformatics technology,14 Days Ago,2023-03-07
296,Medical Representative || MNC || Pharma,Futurestep Recruitment Services,2-6 Yrs,1-5.5 Lacs PA,"Shillong, Chennai", Location: Chennai / Shillong. . Qualification: BPharm / BSc / Must have worked in good ...,Sales,Medical pharma selling territory pharma selling tbm pharmaceutical sales,12 Days Ago,2023-03-07
297,Senior Manager - Solution Scientist Pharma,Merck,5-11 Yrs,Not disclosed,Bangalore/Bengaluru," Masters in Life science, Chemistry or any similar allied science is essentialA degree o...",sales,back office senior management finance pipeline management reporting management distribution,13 Days Ago,2023-03-07
298,Officer/ Executive- Regulatory Affairs- Pharma (ROW) Mumbai.,HRD House,3-6 Yrs,3-7 Lacs PA,Mumbai (All Areas), Candidate is BPharma / M Pharm / MSc with minimum 3to 6 years experience in reputed. . ...,regulatory affairs,ra pharmaceutical row regulatory Asia Africa,13 Days Ago,2023-03-07
299,Officer/ Executive- Regulatory Affairs- Pharma (ROW) Mumbai.,HRD House,3-6 Yrs,3-7 Lacs PA,Mumbai (All Areas), Candidate is BPharma / M Pharm / MSc with minimum 3to 6 years experience in reputed. . ...,regulatory affairs,regulatory row pharmaceutical ra Asia Africa,13 Days Ago,2023-03-07
300,Medical Representative - Dausa-Rajasthan-Pharma Sales -,Vardhman Consultancy Services,0-2 Yrs,Not disclosed,Jaipur, Candidate will be responsible to promote pharmaceutical products to doctors. To achieve...,profiling,business development research market research marketing sales executive activities sales customer profiling,30+ Days Ago,2023-03-07
301,Secretary,Space Consultant,0-2 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru", Exposure and experience in the e-filing module of the Indian Patent office. . Graduatio...,e-filing,communication skills ipr secretarial activities secretarial Secretary,5 Days Ago,2023-03-07
302,Secretary ( Renewal),Space Consultant,2-5 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru", Good experience in the payment of annuities (Indian & foreign) tracking deadlinesExposu...,e-filing,communication skills secretarial activities renewals Form 16 Form 6,5 Days Ago,2023-03-07
303,Accounts and Admin Secretary,JK Residential Services Inc,2-5 Yrs,Not disclosed,Mumbai (All Areas), Male / Female candidates Graduates with Competency in Microsoft Office & Tally software...,Accounting,ms office accounts payable financial reporting general finance general accounting administration,1 Day Ago,2023-03-07
304,Accounts Secretary at MIOT International (only female),MIOT International,5-7 Yrs,2-4.5 Lacs PA,Chennai, Knowledge of other languages like Malayalam or Hindi is must. . . Good knowledge in MS ...,accounting,filing international secretarial activities,1 Day Ago,2023-03-07
305,Secretary - Female - Plant - Silvassa,Columbia Petro Chem,5-10 Yrs,Not disclosed,Dadra & Nagar Haveli/Silvassa, Must be a FEMALE having experience into Secretarial Function i.eCandidate from SILVASSA...,Secretary,manufacturing industry secretarial activities daily reports Female Secretary interpersonal skill report writing reporting,2 Days Ago,2023-03-07
306,Secretary - Coimbatore location,Adecco Group,0-1 Yrs,1-1.5 Lacs PA,Coimbatore, We are looking for Secretary (Admin) for reputed MNC company in Coimbatore (kalapathi) ...,secretary,calendar management management secretarial activities office office operations front operations,14 Days Ago,2023-03-07
307,Secretary,Gopal Enterprises,4-5 Yrs,Not disclosed,Mumbai, Graduate with Good English spoken and written communication skillsCandidate staying in ...,Secretary,correspondence secretarial activities shorthand Facility Management management computer knowledge system,4 Days Ago,2023-03-07
308,Secretary,Lodha Group,4-9 Yrs,Not disclosed,Thane," To be successful as a secretary, you must be able to multitask Secretary Requirements: ...",Secretarial Skills,interpersonal skill secretarial activities administration interpersonal skills interpersonal,14 Days Ago,2023-03-07
309,Secretary,Kovai Medical Center and Hospital (KMCH),1-6 Yrs,Not disclosed,Coimbatore, Female candidates only preferable. . MBA in any specilization /msw or any other PG degr...,screening,Exceptional communication skills administration secretarial activities office equipment interpersonal office handling,6 Days Ago,2023-03-07
310,Secretary,Ramcher Ventures Llp,1-4 Yrs,Not disclosed,Bangalore/Bengaluru, . Must Be Able to Communicate with English Speaking Director. . MS Windows / Office (Wo...,office,secretarial activities front office front,5 Days Ago,2023-03-07
311,Manager - Personal Secretary,Bajaj Finserv Ltd.,2-3 Yrs,Not disclosed,Pune, Graduate with min 2-3 years of relevant experience in personal secretary role Good know...,Claims,MIS Personal Secretary Scheduling MS Word Research Powerpoint Room,30+ Days Ago,2023-03-07
312,Secretary,Digities Technologies,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, Answering phone calls and redirect them when necessary Managing the daily/weekly/monthl...,secretarial activities,construction tally sec HR Secretary,10 Days Ago,2023-03-07
313,Vacancy For EA/ Secretary For Kolkata Location,Wpil,8-13 Yrs,Not disclosed,Kolkata, Job Specification: . . Age : Between 30 45 yrs. . Qualification: Any Graduate. Assist i...,secretarial activities,ea,11 Days Ago,2023-03-07
314,Steno Secretary,Capital Placement Services,0-5 Yrs,Not disclosed,New Delhi, English medium school background is a must Other Bachelor DegreeStenography and short h...,secretarial activities,ms office internet steno office english microsoft stenography,30+ Days Ago,2023-03-07
315,Secretary,Space Consultant,0-2 Yrs,Not disclosed,Mumbai, Secretary In Patent Department. Skills and Experience: - 1. Experience of around 0-2 ye...,secretarial activities,analytical skills ipr relationship analytical analytical skill analytics Secretary,30+ Days Ago,2023-03-07
316,"Hiring For EA/Secretary- Mumbai, BKC",Steno House,2-7 Yrs,6-12 Lacs PA,Hybrid - Mumbai (All Areas)(Bandra Kurla Complex), Calendar Management Travel Arrangement MOMExcellent communication skills Prior secretar...,Executive Assistant,assistance travel arrangements travel operations calendar management operations travel secretarial activities,1 Day Ago,2023-03-07
317,CS Secretary,Kukulkan Manpower,0-1 Yrs,Not disclosed,Coimbatore, The Institute of Company Secretaries of India (ICSI)The Company Secretary is: . . An in...,marketing,corporate governance public relations relationship compliance governance law cs,30+ Days Ago,2023-03-07
318,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,Mumbai, Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,secretarial activities,scheduling ms office shorthand ups logistics office microsoft,30+ Days Ago,2023-03-07
319,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,"Mumbai, Navi Mumbai", Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,secretarial activities,scheduling ms office shorthand ups logistics office microsoft,30+ Days Ago,2023-03-07
320,Secretary,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,3-5 Yrs,Not disclosed,Mumbai, Bachelor s Degree of any statutory University and Personal Secretarial Certificate Cour...,scheduling,ms office logistics office stenography microsoft shorthand dbms,30+ Days Ago,2023-03-07
321,Diploma/Be Civil graduate For Site Engineer Role,Samruddhi,0-2 Yrs,1.75-3 Lacs PA,Bangalore/Bengaluru(Adugodi), Diploma / BE fresh graduates with minimum 1-2 years of expereince can apply for this po...,Site Supervision,Site Execution project management site engineering quantity estimation project draft autocad,1 Day Ago,2023-03-07
322,Requirement For Civil Engineer/Site Supervisor,MCM Flexi Cladding India Pvt. Ltd.,0-3 Yrs,Not disclosed,Mumbai (All Areas), Experience: 0 to 3 years (Freshers ).,site engineering,site site supervision engineering requirements civil engineering supervision civil,4 Days Ago,2023-03-07
323,Site Engineer,Terra Firma,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", Responsibilities:-• On site execution of Civil and interior work as per drawings shared...,Site Engineering,hvac site execution engineering civil engineering construction site execution,Just Now,2023-03-07
324,Civil Supervisor/Site Engineer(Jharkhand Candidate Only),Sashanka Agro Tech,2-7 Yrs,1.5-6 Lacs PA,Permanent Remote, -Interested Incumbent Should have Excellent Project Management Skills. . -Effective Lea...,Civil Construction,management skills Civil Site Engineering Administrative Skills civil administration management construction,4 Days Ago,2023-03-07
325,Civil Site Engineer,Electro Mechnico Projects,1-6 Yrs,1.5-3.5 Lacs PA,Tinsukia, Electro Mechnico Projects Pvt. Ltd. is currently hiring multiple candidates with a B.E....,Site Engineering,site project engineering engineering civil site engineering civil engineering project civil,4 Days Ago,2023-03-07
326,Site Engineer- Civil,Zeevika Livelihood Consultant,1-4 Yrs,Not disclosed,Lucknow, Experience in coordinating with clients . . A flexible team worker with problem solving...,civil,monitoring execution inspection management construction engineering site engineering,7 Days Ago,2023-03-07
327,Site Engineer Civil,Abdl Homes,8-10 Yrs,3-4.5 Lacs PA,Bhopal, Bachelors degree in Civil engineering . The Site Engineer will work closely with the pr...,Site Engineering,civil supervision site site planning site execution building construction labour,5 Days Ago,2023-03-07
328,Civil Site Engineer,Esfaw Realty,5-10 Yrs,3-6 Lacs PA,"Mumbai, Mumbai Suburban, Mumbai (All Areas)", Duties and Responsibilies of Site Engineer are as follows: . . Executing works as per a...,site engineering,execution site planning management labour control site execution construction project management,4 Days Ago,2023-03-07
329,Civil Site Engineer / supervisor -Maldives,Swagatham Resource Management India,01 Mar - 10 Mar,6-7 Lacs PA,"Chennai, Maldives", Civil Site Engineer - Salary 700-800 USD . Vacancy 5Civil supervisor- Salary 500-600 US...,civil,site engineering building site engineering civil site engineering civil engineering supervision,6 Days Ago,2023-03-07
330,Civil Site Engineer Estimator,Skyline Building And Infrastructure Constructions  And Consultants Sbic,0-5 Yrs,3.5-6 Lacs PA,"Rajkot, Surat, Vadodara", We will Give Preference to Those Candidate who has done Diploma or Certification in Qua...,Estimation,Rate Analysis Quantity Surveying Boq Preparation Civil Site Engineering management construction analysis,6 Days Ago,2023-03-07
331,Civil Site Engineer Estimator,Skyline Building And Infrastructure Constructions  And Consultants Sbic,0-5 Yrs,3.5-6 Lacs PA,"Unnao, Kannauj, Firozabad", We will Give Preference to Those Candidate who has done Diploma or Certification in Qua...,Estimation,Rate Analysis Quantity Surveying Boq Preparation Civil Site Engineering tender preparation tendering site,6 Days Ago,2023-03-07
